species,size bins,count,
Dourada,4.75E-04,0,
Dourada,5.66E-04,0,
Dourada,6.74E-04,0,
Dourada,8.02E-04,0,
Dourada,9.55E-04,0,
Dourada,1.14E-03,0,
Dourada,1.35E-03,0,
Dourada,1.61E-03,0,
Dourada,1.92E-03,0,
Dourada,2.29E-03,0,
Dourada,2.72E-03,0,
Dourada,3.24E-03,0,
Dourada,3.86E-03,0,
Dourada,4.59E-03,0,
Dourada,5.47E-03,0,
Dourada,6.51E-03,0,
Dourada,7.75E-03,0,
Dourada,9.23E-03,0,
Dourada,1.10E-02,0,
Dourada,1.31E-02,0,
Dourada,1.56E-02,0,
Dourada,1.85E-02,0,
Dourada,2.21E-02,0,
Dourada,2.63E-02,0,
Dourada,3.13E-02,0,
Dourada,3.73E-02,0,
Dourada,4.44E-02,0,
Dourada,5.28E-02,0,
Dourada,6.29E-02,0,
Dourada,7.49E-02,0,
Dourada,8.92E-02,0,
Dourada,1.06E-01,0,
Dourada,1.26E-01,0,
Dourada,1.51E-01,0,
Dourada,1.79E-01,0,
Dourada,2.13E-01,0,
Dourada,2.54E-01,0,
Dourada,3.03E-01,0,
Dourada,3.60E-01,0,
Dourada,4.29E-01,0,
Dourada,5.11E-01,0,
Dourada,6.08E-01,0,
Dourada,7.24E-01,0,
Dourada,8.62E-01,0,
Dourada,1.03E+00,1,
Dourada,1.22E+00,0,
Dourada,1.46E+00,1,
Dourada,1.73E+00,0,
Dourada,2.06E+00,0,
Dourada,2.46E+00,0,
Dourada,2.92E+00,0,
Dourada,3.48E+00,0,
Dourada,4.15E+00,0,
Dourada,4.94E+00,1,
Dourada,5.88E+00,0,
Dourada,7.00E+00,0,
Dourada,8.33E+00,0,
Dourada,9.92E+00,1,
Dourada,1.18E+01,0,
Dourada,1.41E+01,1,
Dourada,1.67E+01,2,
Dourada,1.99E+01,3,
Dourada,2.37E+01,5,
Dourada,2.83E+01,8,
Dourada,3.37E+01,10,
Dourada,4.01E+01,21,
Dourada,4.77E+01,35,
Dourada,5.68E+01,26,
Dourada,6.76E+01,25,
Dourada,8.05E+01,10,
Dourada,9.59E+01,9,
Dourada,1.14E+02,2,
Dourada,1.36E+02,0,
Dourada,1.62E+02,0,
Dourada,1.93E+02,0,
Dourada,2.29E+02,1,
Dourada,2.73E+02,2,
Dourada,3.25E+02,0,
Dourada,3.87E+02,1,
Dourada,4.61E+02,6,
Dourada,5.49E+02,18,
Dourada,6.54E+02,8,
Dourada,7.78E+02,2,
Dourada,9.27E+02,0,
Dourada,1.10E+03,1,
Dourada,1.31E+03,1,
Dourada,1.56E+03,0,
Dourada,1.86E+03,0,
Dourada,2.22E+03,0,
Dourada,2.64E+03,0,
Dourada,3.14E+03,0,
Dourada,3.74E+03,0,
Dourada,4.46E+03,0,
Dourada,5.31E+03,0,
Dourada,6.32E+03,0,
Dourada,7.52E+03,0,
Dourada,8.96E+03,0,
Dourada,1.07E+04,0,
Dourada,1.27E+04,0,
Dourada,1.51E+04,0,
Choupa,4.75E-04,0,
Choupa,5.66E-04,0,
Choupa,6.74E-04,0,
Choupa,8.02E-04,0,
Choupa,9.55E-04,0,
Choupa,1.14E-03,0,
Choupa,1.35E-03,0,
Choupa,1.61E-03,0,
Choupa,1.92E-03,0,
Choupa,2.29E-03,0,
Choupa,2.72E-03,0,
Choupa,3.24E-03,0,
Choupa,3.86E-03,0,
Choupa,4.59E-03,0,
Choupa,5.47E-03,0,
Choupa,6.51E-03,0,
Choupa,7.75E-03,0,
Choupa,9.23E-03,0,
Choupa,1.10E-02,0,
Choupa,1.31E-02,0,
Choupa,1.56E-02,0,
Choupa,1.85E-02,0,
Choupa,2.21E-02,0,
Choupa,2.63E-02,0,
Choupa,3.13E-02,0,
Choupa,3.73E-02,0,
Choupa,4.44E-02,0,
Choupa,5.28E-02,0,
Choupa,6.29E-02,0,
Choupa,7.49E-02,0,
Choupa,8.92E-02,0,
Choupa,1.06E-01,0,
Choupa,1.26E-01,0,
Choupa,1.51E-01,0,
Choupa,1.79E-01,0,
Choupa,2.13E-01,0,
Choupa,2.54E-01,0,
Choupa,3.03E-01,0,
Choupa,3.60E-01,0,
Choupa,4.29E-01,0,
Choupa,5.11E-01,0,
Choupa,6.08E-01,0,
Choupa,7.24E-01,1,
Choupa,8.62E-01,0,
Choupa,1.03E+00,1,
Choupa,1.22E+00,8,
Choupa,1.46E+00,16,
Choupa,1.73E+00,9,
Choupa,2.06E+00,4,
Choupa,2.46E+00,0,
Choupa,2.92E+00,1,
Choupa,3.48E+00,6,
Choupa,4.15E+00,15,
Choupa,4.94E+00,57,
Choupa,5.88E+00,114,
Choupa,7.00E+00,114,
Choupa,8.33E+00,36,
Choupa,9.92E+00,16,
Choupa,1.18E+01,6,
Choupa,1.41E+01,5,
Choupa,1.67E+01,12,
Choupa,1.99E+01,18,
Choupa,2.37E+01,9,
Choupa,2.83E+01,5,
Choupa,3.37E+01,0,
Choupa,4.01E+01,0,
Choupa,4.77E+01,0,
Choupa,5.68E+01,0,
Choupa,6.76E+01,0,
Choupa,8.05E+01,0,
Choupa,9.59E+01,0,
Choupa,1.14E+02,0,
Choupa,1.36E+02,0,
Choupa,1.62E+02,0,
Choupa,1.93E+02,0,
Choupa,2.29E+02,0,
Choupa,2.73E+02,0,
Choupa,3.25E+02,0,
Choupa,3.87E+02,0,
Choupa,4.61E+02,0,
Choupa,5.49E+02,0,
Choupa,6.54E+02,0,
Choupa,7.78E+02,0,
Choupa,9.27E+02,0,
Choupa,1.10E+03,0,
Choupa,1.31E+03,0,
Choupa,1.56E+03,0,
Choupa,1.86E+03,0,
Choupa,2.22E+03,0,
Choupa,2.64E+03,0,
Choupa,3.14E+03,0,
Choupa,3.74E+03,0,
Choupa,4.46E+03,0,
Choupa,5.31E+03,0,
Choupa,6.32E+03,0,
Choupa,7.52E+03,0,
Choupa,8.96E+03,0,
Choupa,1.07E+04,0,
Choupa,1.27E+04,0,
Choupa,1.51E+04,0,
Baila,4.75E-04,0,
Baila,5.66E-04,0,
Baila,6.74E-04,0,
Baila,8.02E-04,0,
Baila,9.55E-04,0,
Baila,1.14E-03,0,
Baila,1.35E-03,0,
Baila,1.61E-03,0,
Baila,1.92E-03,0,
Baila,2.29E-03,0,
Baila,2.72E-03,0,
Baila,3.24E-03,0,
Baila,3.86E-03,0,
Baila,4.59E-03,0,
Baila,5.47E-03,0,
Baila,6.51E-03,0,
Baila,7.75E-03,0,
Baila,9.23E-03,0,
Baila,1.10E-02,0,
Baila,1.31E-02,0,
Baila,1.56E-02,0,
Baila,1.85E-02,0,
Baila,2.21E-02,0,
Baila,2.63E-02,0,
Baila,3.13E-02,0,
Baila,3.73E-02,0,
Baila,4.44E-02,0,
Baila,5.28E-02,0,
Baila,6.29E-02,0,
Baila,7.49E-02,0,
Baila,8.92E-02,0,
Baila,1.06E-01,0,
Baila,1.26E-01,0,
Baila,1.51E-01,0,
Baila,1.79E-01,0,
Baila,2.13E-01,0,
Baila,2.54E-01,0,
Baila,3.03E-01,0,
Baila,3.60E-01,0,
Baila,4.29E-01,0,
Baila,5.11E-01,0,
Baila,6.08E-01,0,
Baila,7.24E-01,0,
Baila,8.62E-01,0,
Baila,1.03E+00,0,
Baila,1.22E+00,0,
Baila,1.46E+00,0,
Baila,1.73E+00,0,
Baila,2.06E+00,0,
Baila,2.46E+00,0,
Baila,2.92E+00,0,
Baila,3.48E+00,0,
Baila,4.15E+00,0,
Baila,4.94E+00,1,
Baila,5.88E+00,0,
Baila,7.00E+00,3,
Baila,8.33E+00,2,
Baila,9.92E+00,0,
Baila,1.18E+01,1,
Baila,1.41E+01,1,
Baila,1.67E+01,0,
Baila,1.99E+01,1,
Baila,2.37E+01,0,
Baila,2.83E+01,0,
Baila,3.37E+01,0,
Baila,4.01E+01,0,
Baila,4.77E+01,0,
Baila,5.68E+01,0,
Baila,6.76E+01,0,
Baila,8.05E+01,0,
Baila,9.59E+01,0,
Baila,1.14E+02,0,
Baila,1.36E+02,0,
Baila,1.62E+02,0,
Baila,1.93E+02,0,
Baila,2.29E+02,0,
Baila,2.73E+02,0,
Baila,3.25E+02,0,
Baila,3.87E+02,0,
Baila,4.61E+02,0,
Baila,5.49E+02,0,
Baila,6.54E+02,0,
Baila,7.78E+02,0,
Baila,9.27E+02,0,
Baila,1.10E+03,0,
Baila,1.31E+03,0,
Baila,1.56E+03,0,
Baila,1.86E+03,0,
Baila,2.22E+03,0,
Baila,2.64E+03,0,
Baila,3.14E+03,0,
Baila,3.74E+03,0,
Baila,4.46E+03,0,
Baila,5.31E+03,0,
Baila,6.32E+03,0,
Baila,7.52E+03,0,
Baila,8.96E+03,0,
Baila,1.07E+04,0,
Baila,1.27E+04,0,
Baila,1.51E+04,0,
Toadfish,4.75E-04,0,
Toadfish,5.66E-04,0,
Toadfish,6.74E-04,0,
Toadfish,8.02E-04,0,
Toadfish,9.55E-04,0,
Toadfish,1.14E-03,0,
Toadfish,1.35E-03,0,
Toadfish,1.61E-03,0,
Toadfish,1.92E-03,0,
Toadfish,2.29E-03,0,
Toadfish,2.72E-03,0,
Toadfish,3.24E-03,0,
Toadfish,3.86E-03,0,
Toadfish,4.59E-03,0,
Toadfish,5.47E-03,0,
Toadfish,6.51E-03,0,
Toadfish,7.75E-03,0,
Toadfish,9.23E-03,0,
Toadfish,1.10E-02,0,
Toadfish,1.31E-02,0,
Toadfish,1.56E-02,0,
Toadfish,1.85E-02,0,
Toadfish,2.21E-02,0,
Toadfish,2.63E-02,0,
Toadfish,3.13E-02,0,
Toadfish,3.73E-02,0,
Toadfish,4.44E-02,0,
Toadfish,5.28E-02,0,
Toadfish,6.29E-02,0,
Toadfish,7.49E-02,0,
Toadfish,8.92E-02,0,
Toadfish,1.06E-01,0,
Toadfish,1.26E-01,0,
Toadfish,1.51E-01,0,
Toadfish,1.79E-01,0,
Toadfish,2.13E-01,0,
Toadfish,2.54E-01,0,
Toadfish,3.03E-01,0,
Toadfish,3.60E-01,0,
Toadfish,4.29E-01,0,
Toadfish,5.11E-01,0,
Toadfish,6.08E-01,0,
Toadfish,7.24E-01,0,
Toadfish,8.62E-01,0,
Toadfish,1.03E+00,0,
Toadfish,1.22E+00,0,
Toadfish,1.46E+00,0,
Toadfish,1.73E+00,0,
Toadfish,2.06E+00,0,
Toadfish,2.46E+00,0,
Toadfish,2.92E+00,0,
Toadfish,3.48E+00,0,
Toadfish,4.15E+00,0,
Toadfish,4.94E+00,1,
Toadfish,5.88E+00,0,
Toadfish,7.00E+00,1,
Toadfish,8.33E+00,2,
Toadfish,9.92E+00,2,
Toadfish,1.18E+01,0,
Toadfish,1.41E+01,0,
Toadfish,1.67E+01,0,
Toadfish,1.99E+01,1,
Toadfish,2.37E+01,0,
Toadfish,2.83E+01,3,
Toadfish,3.37E+01,4,
Toadfish,4.01E+01,2,
Toadfish,4.77E+01,3,
Toadfish,5.68E+01,7,
Toadfish,6.76E+01,9,
Toadfish,8.05E+01,6,
Toadfish,9.59E+01,6,
Toadfish,1.14E+02,5,
Toadfish,1.36E+02,2,
Toadfish,1.62E+02,4,
Toadfish,1.93E+02,0,
Toadfish,2.29E+02,1,
Toadfish,2.73E+02,0,
Toadfish,3.25E+02,0,
Toadfish,3.87E+02,1,
Toadfish,4.61E+02,0,
Toadfish,5.49E+02,0,
Toadfish,6.54E+02,0,
Toadfish,7.78E+02,0,
Toadfish,9.27E+02,0,
Toadfish,1.10E+03,0,
Toadfish,1.31E+03,0,
Toadfish,1.56E+03,0,
Toadfish,1.86E+03,0,
Toadfish,2.22E+03,0,
Toadfish,2.64E+03,0,
Toadfish,3.14E+03,0,
Toadfish,3.74E+03,0,
Toadfish,4.46E+03,0,
Toadfish,5.31E+03,0,
Toadfish,6.32E+03,0,
Toadfish,7.52E+03,0,
Toadfish,8.96E+03,0,
Toadfish,1.07E+04,0,
Toadfish,1.27E+04,0,
Toadfish,1.51E+04,0,
Eel,4.75E-04,0,
Eel,5.66E-04,0,
Eel,6.74E-04,0,
Eel,8.02E-04,0,
Eel,9.55E-04,0,
Eel,1.14E-03,0,
Eel,1.35E-03,0,
Eel,1.61E-03,0,
Eel,1.92E-03,0,
Eel,2.29E-03,0,
Eel,2.72E-03,0,
Eel,3.24E-03,0,
Eel,3.86E-03,0,
Eel,4.59E-03,0,
Eel,5.47E-03,0,
Eel,6.51E-03,0,
Eel,7.75E-03,0,
Eel,9.23E-03,0,
Eel,1.10E-02,0,
Eel,1.31E-02,0,
Eel,1.56E-02,0,
Eel,1.85E-02,0,
Eel,2.21E-02,0,
Eel,2.63E-02,0,
Eel,3.13E-02,0,
Eel,3.73E-02,0,
Eel,4.44E-02,0,
Eel,5.28E-02,0,
Eel,6.29E-02,0,
Eel,7.49E-02,0,
Eel,8.92E-02,0,
Eel,1.06E-01,0,
Eel,1.26E-01,0,
Eel,1.51E-01,0,
Eel,1.79E-01,0,
Eel,2.13E-01,0,
Eel,2.54E-01,0,
Eel,3.03E-01,0,
Eel,3.60E-01,0,
Eel,4.29E-01,0,
Eel,5.11E-01,0,
Eel,6.08E-01,0,
Eel,7.24E-01,0,
Eel,8.62E-01,0,
Eel,1.03E+00,0,
Eel,1.22E+00,0,
Eel,1.46E+00,0,
Eel,1.73E+00,0,
Eel,2.06E+00,0,
Eel,2.46E+00,0,
Eel,2.92E+00,0,
Eel,3.48E+00,0,
Eel,4.15E+00,0,
Eel,4.94E+00,0,
Eel,5.88E+00,0,
Eel,7.00E+00,0,
Eel,8.33E+00,0,
Eel,9.92E+00,0,
Eel,1.18E+01,0,
Eel,1.41E+01,0,
Eel,1.67E+01,1,
Eel,1.99E+01,0,
Eel,2.37E+01,1,
Eel,2.83E+01,1,
Eel,3.37E+01,2,
Eel,4.01E+01,1,
Eel,4.77E+01,1,
Eel,5.68E+01,0,
Eel,6.76E+01,1,
Eel,8.05E+01,0,
Eel,9.59E+01,1,
Eel,1.14E+02,0,
Eel,1.36E+02,2,
Eel,1.62E+02,0,
Eel,1.93E+02,0,
Eel,2.29E+02,0,
Eel,2.73E+02,0,
Eel,3.25E+02,0,
Eel,3.87E+02,0,
Eel,4.61E+02,0,
Eel,5.49E+02,0,
Eel,6.54E+02,0,
Eel,7.78E+02,0,
Eel,9.27E+02,1,
Eel,1.10E+03,1,
Eel,1.31E+03,0,
Eel,1.56E+03,0,
Eel,1.86E+03,0,
Eel,2.22E+03,0,
Eel,2.64E+03,0,
Eel,3.14E+03,0,
Eel,3.74E+03,0,
Eel,4.46E+03,0,
Eel,5.31E+03,0,
Eel,6.32E+03,0,
Eel,7.52E+03,0,
Eel,8.96E+03,0,
Eel,1.07E+04,0,
Eel,1.27E+04,0,
Eel,1.51E+04,0,
Pargo,4.75E-04,0,
Pargo,5.66E-04,0,
Pargo,6.74E-04,0,
Pargo,8.02E-04,0,
Pargo,9.55E-04,0,
Pargo,1.14E-03,0,
Pargo,1.35E-03,0,
Pargo,1.61E-03,0,
Pargo,1.92E-03,0,
Pargo,2.29E-03,0,
Pargo,2.72E-03,0,
Pargo,3.24E-03,0,
Pargo,3.86E-03,0,
Pargo,4.59E-03,0,
Pargo,5.47E-03,0,
Pargo,6.51E-03,0,
Pargo,7.75E-03,0,
Pargo,9.23E-03,0,
Pargo,1.10E-02,0,
Pargo,1.31E-02,0,
Pargo,1.56E-02,0,
Pargo,1.85E-02,0,
Pargo,2.21E-02,0,
Pargo,2.63E-02,0,
Pargo,3.13E-02,0,
Pargo,3.73E-02,0,
Pargo,4.44E-02,0,
Pargo,5.28E-02,0,
Pargo,6.29E-02,0,
Pargo,7.49E-02,0,
Pargo,8.92E-02,0,
Pargo,1.06E-01,0,
Pargo,1.26E-01,0,
Pargo,1.51E-01,0,
Pargo,1.79E-01,0,
Pargo,2.13E-01,0,
Pargo,2.54E-01,0,
Pargo,3.03E-01,0,
Pargo,3.60E-01,0,
Pargo,4.29E-01,0,
Pargo,5.11E-01,0,
Pargo,6.08E-01,0,
Pargo,7.24E-01,0,
Pargo,8.62E-01,0,
Pargo,1.03E+00,0,
Pargo,1.22E+00,0,
Pargo,1.46E+00,0,
Pargo,1.73E+00,0,
Pargo,2.06E+00,0,
Pargo,2.46E+00,0,
Pargo,2.92E+00,0,
Pargo,3.48E+00,0,
Pargo,4.15E+00,0,
Pargo,4.94E+00,0,
Pargo,5.88E+00,0,
Pargo,7.00E+00,0,
Pargo,8.33E+00,0,
Pargo,9.92E+00,0,
Pargo,1.18E+01,0,
Pargo,1.41E+01,0,
Pargo,1.67E+01,0,
Pargo,1.99E+01,0,
Pargo,2.37E+01,0,
Pargo,2.83E+01,0,
Pargo,3.37E+01,0,
Pargo,4.01E+01,0,
Pargo,4.77E+01,0,
Pargo,5.68E+01,0,
Pargo,6.76E+01,0,
Pargo,8.05E+01,0,
Pargo,9.59E+01,0,
Pargo,1.14E+02,0,
Pargo,1.36E+02,0,
Pargo,1.62E+02,0,
Pargo,1.93E+02,0,
Pargo,2.29E+02,0,
Pargo,2.73E+02,0,
Pargo,3.25E+02,0,
Pargo,3.87E+02,0,
Pargo,4.61E+02,0,
Pargo,5.49E+02,0,
Pargo,6.54E+02,0,
Pargo,7.78E+02,0,
Pargo,9.27E+02,0,
Pargo,1.10E+03,0,
Pargo,1.31E+03,1,
Pargo,1.56E+03,0,
Pargo,1.86E+03,0,
Pargo,2.22E+03,0,
Pargo,2.64E+03,0,
Pargo,3.14E+03,0,
Pargo,3.74E+03,0,
Pargo,4.46E+03,0,
Pargo,5.31E+03,0,
Pargo,6.32E+03,0,
Pargo,7.52E+03,0,
Pargo,8.96E+03,0,
Pargo,1.07E+04,0,
Pargo,1.27E+04,0,
Pargo,1.51E+04,0,
Garfish,4.75E-04,0,
Garfish,5.66E-04,0,
Garfish,6.74E-04,0,
Garfish,8.02E-04,0,
Garfish,9.55E-04,0,
Garfish,1.14E-03,0,
Garfish,1.35E-03,0,
Garfish,1.61E-03,0,
Garfish,1.92E-03,0,
Garfish,2.29E-03,0,
Garfish,2.72E-03,0,
Garfish,3.24E-03,0,
Garfish,3.86E-03,0,
Garfish,4.59E-03,0,
Garfish,5.47E-03,0,
Garfish,6.51E-03,0,
Garfish,7.75E-03,0,
Garfish,9.23E-03,0,
Garfish,1.10E-02,0,
Garfish,1.31E-02,0,
Garfish,1.56E-02,0,
Garfish,1.85E-02,0,
Garfish,2.21E-02,0,
Garfish,2.63E-02,0,
Garfish,3.13E-02,0,
Garfish,3.73E-02,0,
Garfish,4.44E-02,0,
Garfish,5.28E-02,0,
Garfish,6.29E-02,0,
Garfish,7.49E-02,0,
Garfish,8.92E-02,0,
Garfish,1.06E-01,0,
Garfish,1.26E-01,1,
Garfish,1.51E-01,0,
Garfish,1.79E-01,0,
Garfish,2.13E-01,0,
Garfish,2.54E-01,0,
Garfish,3.03E-01,0,
Garfish,3.60E-01,0,
Garfish,4.29E-01,0,
Garfish,5.11E-01,0,
Garfish,6.08E-01,0,
Garfish,7.24E-01,0,
Garfish,8.62E-01,0,
Garfish,1.03E+00,0,
Garfish,1.22E+00,0,
Garfish,1.46E+00,0,
Garfish,1.73E+00,0,
Garfish,2.06E+00,0,
Garfish,2.46E+00,0,
Garfish,2.92E+00,0,
Garfish,3.48E+00,0,
Garfish,4.15E+00,0,
Garfish,4.94E+00,0,
Garfish,5.88E+00,0,
Garfish,7.00E+00,0,
Garfish,8.33E+00,0,
Garfish,9.92E+00,0,
Garfish,1.18E+01,0,
Garfish,1.41E+01,0,
Garfish,1.67E+01,0,
Garfish,1.99E+01,0,
Garfish,2.37E+01,0,
Garfish,2.83E+01,0,
Garfish,3.37E+01,0,
Garfish,4.01E+01,0,
Garfish,4.77E+01,0,
Garfish,5.68E+01,0,
Garfish,6.76E+01,0,
Garfish,8.05E+01,0,
Garfish,9.59E+01,0,
Garfish,1.14E+02,0,
Garfish,1.36E+02,0,
Garfish,1.62E+02,0,
Garfish,1.93E+02,0,
Garfish,2.29E+02,0,
Garfish,2.73E+02,0,
Garfish,3.25E+02,0,
Garfish,3.87E+02,0,
Garfish,4.61E+02,0,
Garfish,5.49E+02,0,
Garfish,6.54E+02,0,
Garfish,7.78E+02,0,
Garfish,9.27E+02,0,
Garfish,1.10E+03,0,
Garfish,1.31E+03,0,
Garfish,1.56E+03,0,
