Choupa (S. cantharus),,,,,,,,,,,,
,,,,,,,,,,,,
Date,CODE,species,length (cm),weight (g),,,length (cm),wet weight (g),dry weight (g),dry weight M-2(total),dryweight M-2 average,
25/02/1997,Z3,Choupa,14.4,35.5,,average,13.76666667,39.45187638,10.65200662,0.8042265,0.001775334,
25/02/1997,Z4,Choupa,19.5,101,,total,,17871.7,4825.359,,,
25/02/1997,Z5,Choupa,13.9,31,,,,,,,,
25/02/1997,Z8,Choupa,13.5,32,,gWW/m2,gDW/m2,Biomass in habitat area (gDWm?2),,,,
25/02/1997,Z10,Choupa,14.2,36.7,,2.978616667,0.8042265,0.134,,,,
25/02/1997,Z11,Choupa,12.7,25.9,,,,,,,,
25/02/1997,Z14,Choupa,14.4,37.8,,,Paper value,0.135,,,,
25/02/1997,Z15,Choupa,12.7,26.2,,,,,,,,
25/02/1997,Z16,Choupa,12.5,23.2,,,,,,,,
25/02/1997,Z17,Choupa,11.8,19.3,,,,,,,,
25/02/1997,Z19,Choupa,20.5,111.7,,,,,,,,
25/02/1997,,Choupa,13.7,31.8,,,,,,,,
25/02/1997,,Choupa,13.2,29.7,,,,,,,,
25/02/1997,,Choupa,13.6,32.1,,,,,,,,
25/02/1997,,Choupa,14.7,40.7,,,,,,,,
25/02/1997,,Choupa,14.1,37,,,,,,,,
25/02/1997,,Choupa,14.6,36.8,,,,,,,,
25/02/1997,,Choupa,12.9,27.9,,,,,,,,
25/02/1997,,Choupa,13.8,32.4,,,,,,,,
25/02/1997,,Choupa,12.6,26.8,,,,,,,,
25/02/1997,,Choupa,12.9,26.2,,,,,,,,
25/02/1997,,Choupa,12.1,22,,,,,,,,
25/02/1997,,Choupa,12.5,23.3,,,,,,,,
25/02/1997,,Choupa,11.8,19.8,,,,,,,,
25/02/1997,,Choupa,12.5,23.8,,,,,,,,
25/02/1997,,Choupa,12.4,23.4,,,,,,,,
25/02/1997,,Choupa,14.1,33.4,,,,,,,,
25/02/1997,,Choupa,13,27.2,,,,,,,,
25/02/1997,,Choupa,14.1,35.2,,,,,,,,
25/02/1997,,Choupa,13.4,30.6,,,,,,,,
25/02/1997,,Choupa,19.6,95.8,,,,,,,,
25/02/1997,,Choupa,12.2,21,,,,,,,,
25/02/1997,,Choupa,18.7,79.6,,,,,,,,
25/02/1997,,Choupa,14.3,35.8,,,,,,,,
25/02/1997,,Choupa,13.8,32.8,,,,,,,,
25/02/1997,,Choupa,18.7,85.8,,,,,,,,
25/02/1997,,Choupa,19.8,95.8,,,,,,,,
25/02/1997,,Choupa,21.9,129.6,,,,,,,,
25/02/1997,,Choupa,19.4,100.4,,,,,,,,
25/02/1997,,Choupa,19.6,97.2,,,,,,,,
25/02/1997,,Choupa,18.2,94.9,,,,,,,,
25/02/1997,,Choupa,19.4,95.6,,,,,,,,
25/02/1997,,Choupa,12.1,19.8,,,,,,,,
25/02/1997,,Choupa,13.6,31.5,,,,,,,,
25/02/1997,,Choupa,14.2,34.7,,,,,,,,
25/02/1997,,Choupa,13,28.6,,,,,,,,
25/02/1997,,Choupa,14.2,36.2,,,,,,,,
25/02/1997,,Choupa,13.6,34,,,,,,,,
25/02/1997,,Choupa,13.9,34.8,,,,,,,,
25/02/1997,,Choupa,13,27,,,,,,,,
25/02/1997,,Choupa,17.3,64.9,,,,,,,,
25/02/1997,,Choupa,19.7,100.3,,,,,,,,
25/02/1997,,Choupa,20.5,111.1,,,,,,,,
25/02/1997,,Choupa,19.4,92,,,,,,,,
25/02/1997,,Choupa,19.1,97.3,,,,,,,,
25/02/1997,,Choupa,13.8,33.4,,,,,,,,
25/02/1997,,Choupa,18.3,104.2,,,,,,,,
25/02/1997,,Choupa,18.8,87.2,,,,,,,,
25/02/1997,,Choupa,14.3,35.1,,,,,,,,
25/02/1997,,Choupa,13,29.3,,,,,,,,
25/02/1997,,Choupa,19,92.1,,,,,,,,
25/02/1997,,Choupa,20.8,112.4,,,,,,,,
25/02/1997,,Choupa,12.1,24.9,,,,,,,,
25/02/1997,,Choupa,13.8,31,,,,,,,,
27/02/1997,Z37,Choupa,13.2,29.7,,,,,,,,
27/02/1997,Z40,Choupa,20,97.8,,,,,,,,
27/02/1997,Z41,Choupa,14.8,39.1,,,,,,,,
27/02/1997,Z43,Choupa,13.3,27.5,,,,,,,,
27/02/1997,Z44,Choupa,13.8,31.8,,,,,,,,
27/02/1997,Z45,Choupa,13.5,31.5,,,,,,,,
27/02/1997,Z46,Choupa,12.7,22.5,,,,,,,,
27/02/1997,Z47,Choupa,13.4,30.4,,,,,,,,
27/02/1997,Z48,Choupa,12.2,23.5,,,,,,,,
27/02/1997,Z49,Choupa,13.4,31,,,,,,,,
27/02/1997,Z50,Choupa,12.7,24.8,,,,,,,,
27/02/1997,Z52,Choupa,13.5,32.8,,,,,,,,
27/02/1997,Z53,Choupa,13.2,31.3,,,,,,,,
27/02/1997,Z54,Choupa,15.3,58.4,,,,,,,,
27/02/1997,Z55,Choupa,16.4,78.1,,,,,,,,
27/02/1997,Z56,Choupa,15.2,55.6,,,,,,,,
27/02/1997,Z58,Choupa,13.5,33.5,,,,,,,,
27/02/1997,Z59,Choupa,13.1,28.6,,,,,,,,
27/02/1997,Z60,Choupa,12.9,26.4,,,,,,,,
27/02/1997,Z61,Choupa,13.5,30,,,,,,,,
27/02/1997,Z62,Choupa,13.9,33.3,,,,,,,,
27/02/1997,Z63,Choupa,12.7,31.8,,,,,,,,
27/02/1997,Z64,Choupa,13.6,24.8,,,,,,,,
27/02/1997,Z65,Choupa,12.5,30.5,,,,,,,,
27/02/1997,Z66,Choupa,13.5,28.9,,,,,,,,
27/02/1997,Z67,Choupa,12.7,28.3,,,,,,,,
27/02/1997,Z68,Choupa,15,42.3,,,,,,,,
27/02/1997,Z69,Choupa,13.5,32.9,,,,,,,,
27/02/1997,Z70,Choupa,11.9,23.3,,,,,,,,
27/02/1997,Z71,Choupa,13.9,33.2,,,,,,,,
27/02/1997,Z72,Choupa,14,33.9,,,,,,,,
27/02/1997,Z73,Choupa,13.3,38.6,,,,,,,,
27/02/1997,Z74,Choupa,14.3,32,,,,,,,,
27/02/1997,Z75,Choupa,13.5,27,,,,,,,,
27/02/1997,Z76,Choupa,12.5,30.5,,,,,,,,
27/02/1997,Z77,Choupa,13.5,30,,,,,,,,
27/02/1997,Z78,Choupa,13.3,30.3,,,,,,,,
27/02/1997,Z79,Choupa,13.4,27.2,,,,,,,,
27/02/1997,Z90,Choupa,13.1,29,,,,,,,,
27/02/1997,Z91,Choupa,13.8,30.3,,,,,,,,
27/02/1997,Z92,Choupa,12.5,25.2,,,,,,,,
27/02/1997,Z93,Choupa,13.2,25.5,,,,,,,,
27/02/1997,Z94,Choupa,14,36.6,,,,,,,,
27/02/1997,Z98,Choupa,12.7,27.3,,,,,,,,
27/02/1997,Z99,Choupa,11.9,19.1,,,,,,,,
27/02/1997,Z100,Choupa,19.5,99.7,,,,,,,,
27/02/1997,Z101,Choupa,13.7,32,,,,,,,,
27/02/1997,Z102,Choupa,17.6,71.9,,,,,,,,
27/02/1997,Z103,Choupa,13.3,30.3,,,,,,,,
27/02/1997,Z104,Choupa,18.8,80.7,,,,,,,,
27/02/1997,Z106,Choupa,13.2,31.3,,,,,,,,
27/02/1997,Z107,Choupa,14.7,38.6,,,,,,,,
27/02/1997,Z108,Choupa,12.9,25.5,,,,,,,,
27/02/1997,Z109,Choupa,11.5,18.7,,,,,,,,
02/05/1997,Z200,Choupa,14.7,33.9,,,,,,,,
02/05/1997,Z201,Choupa,11.7,20.5,,,,,,,,
02/05/1997,Z202,Choupa,13.1,27.9,,,,,,,,
02/05/1997,Z203,Choupa,13.5,32,,,,,,,,
02/05/1997,Z204,Choupa,12.9,35,,,,,,,,
02/05/1997,Z205,Choupa,13.9,34.5,,,,,,,,
02/05/1997,Z206,Choupa,13,30.8,,,,,,,,
02/05/1997,Z207,Choupa,12.5,25,,,,,,,,
02/05/1997,,Choupa,14.1,40.5,,,,,,,,
02/05/1997,,Choupa,12.8,30.9,,,,,,,,
02/05/1997,,Choupa,13.1,29.9,,,,,,,,
02/05/1997,,Choupa,13.1,32.5,,,,,,,,
02/05/1997,,Choupa,14.6,50.7,,,,,,,,
02/05/1997,,Choupa,13.4,35.3,,,,,,,,
02/05/1997,,Choupa,12.5,29.1,,,,,,,,
02/05/1997,,Choupa,12.8,29.9,,,,,,,,
02/05/1997,,Choupa,12.6,29.5,,,,,,,,
02/05/1997,,Choupa,12.4,27.6,,,,,,,,
02/05/1997,,Choupa,13.1,34.1,,,,,,,,
02/05/1997,,Choupa,13.9,35,,,,,,,,
02/05/1997,,Choupa,13.1,33,,,,,,,,
02/05/1997,,Choupa,13.5,38.4,,,,,,,,
02/05/1997,,Choupa,13.3,26.1,,,,,,,,
02/05/1997,,Choupa,11.6,22.4,,,,,,,,
02/05/1997,,Choupa,12.4,25.9,,,,,,,,
02/05/1997,,Choupa,12.4,27.7,,,,,,,,
02/05/1997,,Choupa,11.6,23,,,,,,,,
02/05/1997,,Choupa,12.8,29.9,,,,,,,,
08/05/1997,Z501,Choupa,15.4,49.4,,,,,,,,
08/05/1997,Z502,Choupa,14.5,37.7,,,,,,,,
08/05/1997,Z503,Choupa,14,35.3,,,,,,,,
08/05/1997,Z504,Choupa,13.6,31.8,,,,,,,,
08/05/1997,Z505,Choupa,14.3,35.3,,,,,,,,
08/05/1997,Z506,Choupa,16,51.6,,,,,,,,
08/05/1997,Z507,Choupa,14.5,39.1,,,,,,,,
08/05/1997,Z508,Choupa,14.7,35.5,,,,,,,,
08/05/1997,Z509,Choupa,15.4,43.3,,,,,,,,
08/05/1997,Z510,Choupa,14.6,37.7,,,,,,,,
08/05/1997,,Choupa,13.5,32.7,,,,,,,,
08/05/1997,,Choupa,14.3,31,,,,,,,,
08/05/1997,,Choupa,14.7,34.2,,,,,,,,
08/05/1997,,Choupa,14.1,36.7,,,,,,,,
08/05/1997,,Choupa,14.2,33.6,,,,,,,,
08/05/1997,,Choupa,13.6,27.9,,,,,,,,
08/05/1997,,Choupa,15.2,40.7,,,,,,,,
08/05/1997,,Choupa,12.5,22.7,,,,,,,,
08/05/1997,,Choupa,13.1,26.7,,,,,,,,
08/05/1997,,Choupa,13.2,29.1,,,,,,,,
08/05/1997,,Choupa,13.8,33.4,,,,,,,,
08/05/1997,,Choupa,15.5,55.3,,,,,,,,
08/05/1997,,Choupa,13.7,31.9,,,,,,,,
08/05/1997,,Choupa,14.2,36.4,,,,,,,,
08/05/1997,,Choupa,13.5,33,,,,,,,,
08/05/1997,,Choupa,13.5,36.6,,,,,,,,
08/05/1997,,Choupa,15.6,52.6,,,,,,,,
08/05/1997,,Choupa,13.4,29.6,,,,,,,,
08/05/1997,,Choupa,13.1,29,,,,,,,,
08/05/1997,,Choupa,14.4,39,,,,,,,,
08/05/1997,,Choupa,14.2,38,,,,,,,,
08/05/1997,,Choupa,15.1,45,,,,,,,,
08/05/1997,,Choupa,15.5,47.8,,,,,,,,
08/05/1997,,Choupa,12.8,27.3,,,,,,,,
08/05/1997,,Choupa,15,44.1,,,,,,,,
08/05/1997,,Choupa,13.1,29,,,,,,,,
08/05/1997,,Choupa,15,43,,,,,,,,
08/05/1997,,Choupa,13.9,34.5,,,,,,,,
08/05/1997,,Choupa,13.6,34,,,,,,,,
08/05/1997,,Choupa,14.5,38.3,,,,,,,,
08/05/1997,,Choupa,14.3,35.3,,,,,,,,
08/05/1997,,Choupa,13.7,35.1,,,,,,,,
08/05/1997,,Choupa,12.5,25.9,,,,,,,,
08/05/1997,,Choupa,15.6,47.1,,,,,,,,
08/05/1997,,Choupa,13.8,38.8,,,,,,,,
08/05/1997,,Choupa,13.7,35.9,,,,,,,,
08/05/1997,,Choupa,12.8,27.7,,,,,,,,
08/05/1997,,Choupa,15,45.4,,,,,,,,
08/05/1997,,Choupa,13.4,30.4,,,,,,,,
08/05/1997,,Choupa,13.7,33.8,,,,,,,,
08/05/1997,,Choupa,13.4,31.5,,,,,,,,
08/05/1997,,Choupa,14.5,41,,,,,,,,
08/05/1997,,Choupa,13.6,37.9,,,,,,,,
08/05/1997,,Choupa,14.2,37.6,,,,,,,,
08/05/1997,,Choupa,12.2,24.5,,,,,,,,
08/05/1997,,Choupa,13.9,34.7,,,,,,,,
08/05/1997,,Choupa,13.1,28.7,,,,,,,,
08/05/1997,,Choupa,13.6,34.4,,,,,,,,
08/05/1997,,Choupa,14.2,37.4,,,,,,,,
08/05/1997,,Choupa,13.2,31.3,,,,,,,,
08/05/1997,,Choupa,13.7,31.7,,,,,,,,
08/05/1997,,Choupa,12.9,28.4,,,,,,,,
08/05/1997,,Choupa,13.8,34,,,,,,,,
08/05/1997,,Choupa,14.4,36.9,,,,,,,,
08/05/1997,,Choupa,13.7,33.4,,,,,,,,
08/05/1997,,Choupa,12.5,26,,,,,,,,
08/05/1997,,Choupa,13.6,34.1,,,,,,,,
08/05/1997,,Choupa,12.5,25.3,,,,,,,,
08/05/1997,,Choupa,13,28.1,,,,,,,,
08/05/1997,,Choupa,14.2,37.7,,,,,,,,
08/05/1997,,Choupa,14,36.1,,,,,,,,
08/05/1997,,Choupa,12.6,25.2,,,,,,,,
08/05/1997,,Choupa,13.2,30.1,,,,,,,,
08/05/1997,,Choupa,13.7,31.1,,,,,,,,
08/05/1997,,Choupa,13.4,30,,,,,,,,
08/05/1997,,Choupa,13.8,34.3,,,,,,,,
14/05/1997,X754,Choupa,26.9,26,,,,,,,,
14/05/1997,X577,Choupa,13.9,36.8,,,,,,,,
14/05/1997,X664,Choupa,16.5,71.4,,,,,,,,
14/05/1997,X665,Choupa,11.2,20.7,,,,,,,,
14/05/1997,X666,Choupa,12,24,,,,,,,,
14/05/1997,X667,Choupa,13.1,31.3,,,,,,,,
14/05/1997,X668,Choupa,14.4,43.4,,,,,,,,
14/05/1997,X669,Choupa,13.8,36.9,,,,,,,,
14/05/1997,X670,Choupa,12.5,27.4,,,,,,,,
14/05/1997,X671,Choupa,13.6,34.8,,,,,,,,
14/05/1997,X672,Choupa,12.5,27.4,,,,,,,,
14/05/1997,X673,Choupa,13,31.9,,,,,,,,
14/05/1997,X674,Choupa,19.5,108.7,,,,,,,,
14/05/1997,X675,Choupa,16.9,68.2,,,,,,,,
14/05/1997,X676,Choupa,13.5,34.4,,,,,,,,
14/05/1997,X677,Choupa,13.1,32,,,,,,,,
14/05/1997,X678,Choupa,13.1,32.2,,,,,,,,
14/05/1997,X679,Choupa,13.5,36.7,,,,,,,,
14/05/1997,X680,Choupa,14,37.1,,,,,,,,
14/05/1997,X681,Choupa,12.6,27.6,,,,,,,,
14/05/1997,X682,Choupa,13.6,36.5,,,,,,,,
14/05/1997,X683,Choupa,13.6,36.3,,,,,,,,
14/05/1997,X684,Choupa,13.2,33,,,,,,,,
14/05/1997,X685,Choupa,12.7,30.6,,,,,,,,
14/05/1997,X686,Choupa,11.9,24.6,,,,,,,,
14/05/1997,X687,Choupa,12.9,30.1,,,,,,,,
14/05/1997,X688,Choupa,13.6,35.3,,,,,,,,
14/05/1997,X689,Choupa,12.2,25.9,,,,,,,,
14/05/1997,X690,Choupa,13.1,30.9,,,,,,,,
14/05/1997,X691,Choupa,13.2,32.4,,,,,,,,
14/05/1997,X692,Choupa,13.9,41.1,,,,,,,,
14/05/1997,X693,Choupa,13.8,36.5,,,,,,,,
14/05/1997,X694,Choupa,13.5,36.6,,,,,,,,
14/05/1997,X695,Choupa,13.2,32,,,,,,,,
14/05/1997,X696,Choupa,13.8,33.6,,,,,,,,
14/05/1997,X697,Choupa,12.3,29.1,,,,,,,,
14/05/1997,X698,Choupa,13.6,37.4,,,,,,,,
14/05/1997,X699,Choupa,11.8,24.5,,,,,,,,
14/05/1997,X700,Choupa,12.8,33.6,,,,,,,,
14/05/1997,X701,Choupa,12.6,27.7,,,,,,,,
14/05/1997,X702,Choupa,13.5,32.7,,,,,,,,
14/05/1997,X703,Choupa,13.3,25.1,,,,,,,,
14/05/1997,X704,Choupa,13,29.4,,,,,,,,
14/05/1997,X705,Choupa,13,22.5,,,,,,,,
14/05/1997,X706,Choupa,13.7,37.2,,,,,,,,
14/05/1997,X707,Choupa,13,30.8,,,,,,,,
14/05/1997,X708,Choupa,12.5,29.4,,,,,,,,
14/05/1997,X709,Choupa,13.7,35.9,,,,,,,,
14/05/1997,X710,Choupa,13.5,34.3,,,,,,,,
14/05/1997,X711,Choupa,12.1,24,,,,,,,,
14/05/1997,X712,Choupa,13,29.4,,,,,,,,
14/05/1997,X713,Choupa,13.3,33.8,,,,,,,,
14/05/1997,X714,Choupa,13,31.4,,,,,,,,
14/05/1997,X715,Choupa,13.5,33.8,,,,,,,,
14/05/1997,X716,Choupa,13.3,33,,,,,,,,
14/05/1997,X717,Choupa,12.6,28.9,,,,,,,,
14/05/1997,X718,Choupa,13.5,34,,,,,,,,
14/05/1997,X719,Choupa,15.1,39,,,,,,,,
14/05/1997,X720,Choupa,13.1,32.1,,,,,,,,
14/05/1997,X721,Choupa,14.8,30.7,,,,,,,,
14/05/1997,X722,Choupa,12.6,29.5,,,,,,,,
14/05/1997,X723,Choupa,13.7,36.8,,,,,,,,
14/05/1997,X724,Choupa,12.4,27,,,,,,,,
14/05/1997,X725,Choupa,12.8,29.7,,,,,,,,
14/05/1997,X726,Choupa,13.5,37.7,,,,,,,,
14/05/1997,X727,Choupa,13.4,36,,,,,,,,
14/05/1997,X728,Choupa,12.7,29.3,,,,,,,,
14/05/1997,X729,Choupa,14.1,39.6,,,,,,,,
14/05/1997,X730,Choupa,14,37.8,,,,,,,,
14/05/1997,X731,Choupa,13.5,35.7,,,,,,,,
14/05/1997,X732,Choupa,12.6,26.4,,,,,,,,
14/05/1997,X733,Choupa,13.3,31.9,,,,,,,,
14/05/1997,X734,Choupa,12.6,29.6,,,,,,,,
14/05/1997,X735,Choupa,12.6,27.7,,,,,,,,
14/05/1997,X736,Choupa,12.6,35.5,,,,,,,,
14/05/1997,X737,Choupa,13.5,37.6,,,,,,,,
14/05/1997,X738,Choupa,12.4,26.7,,,,,,,,
14/05/1997,X739,Choupa,12.3,25.7,,,,,,,,
14/05/1997,X740,Choupa,14.6,43.8,,,,,,,,
14/05/1997,X741,Choupa,12.7,28.2,,,,,,,,
14/05/1997,X742,Choupa,13.7,36.6,,,,,,,,
14/05/1997,X743,Choupa,12.6,28,,,,,,,,
14/05/1997,X744,Choupa,13.7,37,,,,,,,,
14/05/1997,X745,Choupa,13.1,34,,,,,,,,
12/06/1997,S-2102,Choupa,14.8,42.6,,,,,,,,
12/06/1997,S-2104,Choupa,10.3,14.2,,,,,,,,
12/06/1997,S-2105,Choupa,14.2,37.3,,,,,,,,
12/06/1997,S-2106,Choupa,13,21.5,,,,,,,,
12/06/1997,S-2109,Choupa,10.5,18.9,,,,,,,,
12/06/1997,S-2110,Choupa,12.4,24.7,,,,,,,,
12/06/1997,S-2113,Choupa,14.1,38.2,,,,,,,,
12/06/1997,S-2114,Choupa,13.8,37.2,,,,,,,,
12/06/1997,S-2115,Choupa,14,40.8,,,,,,,,
12/06/1997,S-2116,Choupa,13.3,34.2,,,,,,,,
12/06/1997,S-2117,Choupa,13.4,32.1,,,,,,,,
12/06/1997,S-2118,Choupa,14.9,48.6,,,,,,,,
12/06/1997,S-2119,Choupa,13,26.6,,,,,,,,
12/06/1997,S-2120,Choupa,13.1,32.6,,,,,,,,
12/06/1997,S-2122,Choupa,13.2,38.7,,,,,,,,
12/06/1997,S-2123,Choupa,13.6,35.6,,,,,,,,
12/06/1997,S-2124,Choupa,12.8,28.3,,,,,,,,
12/06/1997,S-2125,Choupa,13.8,37.7,,,,,,,,
12/06/1997,S-2126,Choupa,13.8,37.5,,,,,,,,
12/06/1997,S-2127,Choupa,14.5,51.1,,,,,,,,
12/06/1997,S-2128,Choupa,13.5,36.5,,,,,,,,
12/06/1997,S-2130,Choupa,13.5,36.2,,,,,,,,
12/06/1997,S-2131,Choupa,14.2,43.5,,,,,,,,
12/06/1997,S-2133,Choupa,13.7,36.4,,,,,,,,
12/06/1997,S-2134,Choupa,13.7,34.2,,,,,,,,
12/06/1997,S-2135,Choupa,13.3,34.4,,,,,,,,
12/06/1997,S-2136,Choupa,12.9,33.4,,,,,,,,
12/06/1997,S-2137,Choupa,14,40.2,,,,,,,,
12/06/1997,S-2138,Choupa,12.7,30.7,,,,,,,,
12/06/1997,S-2139,Choupa,13.2,32.1,,,,,,,,
12/06/1997,S-2140,Choupa,13.6,36.3,,,,,,,,
12/06/1997,S-2141,Choupa,14,39.9,,,,,,,,
12/06/1997,S-2142,Choupa,13.8,37.2,,,,,,,,
12/06/1997,S-2144,Choupa,13.2,32.3,,,,,,,,
12/06/1997,S-2145,Choupa,12.1,25.4,,,,,,,,
12/06/1997,S-2146,Choupa,14.4,45.2,,,,,,,,
12/06/1997,S-2147,Choupa,14.3,38.5,,,,,,,,
12/06/1997,S-2148,Choupa,14.1,37.1,,,,,,,,
12/06/1997,S-2149,Choupa,14.4,41,,,,,,,,
12/06/1997,S-2150,Choupa,12.9,32.5,,,,,,,,
12/06/1997,T-112,Choupa,16.2,57.4,,,,,,,,
12/06/1997,T-117,Choupa,16.5,63.3,,,,,,,,
12/06/1997,T-118,Choupa,15.4,46.2,,,,,,,,
12/06/1997,T-119,Choupa,20.6,117.2,,,,,,,,
12/06/1997,T-121,Choupa,15.9,54.2,,,,,,,,
12/06/1997,T-122,Choupa,15.7,54.1,,,,,,,,
12/06/1997,T-124,Choupa,14.6,42.7,,,,,,,,
12/06/1997,T-129,Choupa,20.5,126.7,,,,,,,,
12/06/1997,T-130,Choupa,19.6,118.2,,,,,,,,
12/06/1997,T-131,Choupa,19.1,98.2,,,,,,,,
12/06/1997,T-132,Choupa,19.4,110.3,,,,,,,,
12/06/1997,T-133,Choupa,20.3,125.1,,,,,,,,
12/06/1997,T-134,Choupa,18.7,103.6,,,,,,,,
12/06/1997,T-135,Choupa,20.6,138.2,,,,,,,,
12/06/1997,T-136,Choupa,14.4,42.3,,,,,,,,
12/06/1997,T-138,Choupa,21.3,147.2,,,,,,,,
12/06/1997,T-139,Choupa,15.2,53.2,,,,,,,,
12/06/1997,T-140,Choupa,15.4,54.1,,,,,,,,
12/06/1997,T-141,Choupa,21,141.7,,,,,,,,
12/06/1997,T-142,Choupa,21.4,156.5,,,,,,,,
12/06/1997,T-143,Choupa,14.7,47.3,,,,,,,,
12/06/1997,T-144,Choupa,19.2,101.1,,,,,,,,
12/06/1997,T-145,Choupa,20.8,123.3,,,,,,,,
12/06/1997,T-146,Choupa,15.3,55,,,,,,,,
12/06/1997,T-147,Choupa,20,123.1,,,,,,,,
12/06/1997,,Choupa,14.6,41.1,,,,,,,,
12/06/1997,,Choupa,13,27,,,,,,,,
12/06/1997,,Choupa,14.1,34.7,,,,,,,,
12/06/1997,,Choupa,13.1,30.4,,,,,,,,
12/06/1997,,Choupa,14.2,37.6,,,,,,,,
12/06/1997,,Choupa,14.1,40.4,,,,,,,,
12/06/1997,,Choupa,14.6,42.7,,,,,,,,
12/06/1997,,Choupa,13.9,35.2,,,,,,,,
12/06/1997,,Choupa,13.3,29,,,,,,,,
12/06/1997,,Choupa,13.7,31.7,,,,,,,,
12/06/1997,,Choupa,18.5,89,,,,,,,,
12/06/1997,,Choupa,13.2,28.9,,,,,,,,
12/06/1997,,Choupa,14.2,37.6,,,,,,,,
12/06/1997,,Choupa,14.7,42.6,,,,,,,,
12/06/1997,,Choupa,20.6,111.4,,,,,,,,
12/06/1997,,Choupa,13.3,34.2,,,,,,,,
12/06/1997,,Choupa,14.3,40.5,,,,,,,,
12/06/1997,,Choupa,20.7,124.5,,,,,,,,
12/06/1997,,Choupa,22.1,148.2,,,,,,,,
12/06/1997,,Choupa,19,93.8,,,,,,,,
12/06/1997,,Choupa,14.4,43.5,,,,,,,,
12/06/1997,,Choupa,14.8,43,,,,,,,,
12/06/1997,,Choupa,13.4,33,,,,,,,,
12/06/1997,,Choupa,14.4,38,,,,,,,,
12/06/1997,,Choupa,14.5,40.5,,,,,,,,
12/06/1997,,Choupa,14.6,35.4,,,,,,,,
12/06/1997,,Choupa,12.9,29.3,,,,,,,,
03/07/1997,S-2155,Choupa,13.6,36.9,,,,,,,,
03/07/1997,S-2157,Choupa,12.8,31.8,,,,,,,,
08/08/1997,S-2158,Choupa,13.6,34,,,,,,,,
08/08/1997,S-2159,Choupa,14.3,43.2,,,,,,,,
08/08/1997,S-2160,Choupa,14.9,48,,,,,,,,
08/08/1997,S-2165,Choupa,16.5,58.6,,,,,,,,
08/08/1997,S-2166,Choupa,15.2,50.1,,,,,,,,
08/08/1997,S-2169,Choupa,14.5,44.8,,,,,,,,
08/08/1997,S-2170,Choupa,13.7,58.1,,,,,,,,
08/08/1997,S-2175,Choupa,14.2,43.7,,,,,,,,
08/08/1997,S-2176,Choupa,14,39,,,,,,,,
08/08/1997,S-2179,Choupa,14.4,43.1,,,,,,,,
08/08/1997,T-0177,Choupa,20.4,129.3,,,,,,,,
08/08/1997,T-0182,Choupa,20.5,110.6,,,,,,,,
09/09/1997,,Choupa,7.4,6.3,,,,,,,,
09/09/1997,,Choupa,7.8,7.8,,,,,,,,
09/09/1997,,Choupa,7.8,7.4,,,,,,,,
09/09/1997,,Choupa,8.4,8.3,,,,,,,,
09/09/1997,,Choupa,8.0,7.8,,,,,,,,
09/09/1997,,Choupa,8.0,8.1,,,,,,,,
09/09/1997,H51,Choupas,13.7,34.8,,,,,,,,
09/09/1997,H52,Choupas,8.2,8.0,,,,,,,,
09/09/1997,H53,Choupas,7.7,6.7,,,,,,,,
09/09/1997,H54,Choupas,8.8,9.5,,,,,,,,
09/09/1997,H55,Choupas,8.9,9.9,,,,,,,,
09/09/1997,H56,Choupas,8.8,9.9,,,,,,,,
09/09/1997,H57,Choupas,8.7,10.8,,,,,,,,
09/09/1997,H58,Choupas,7.8,6.2,,,,,,,,
09/09/1997,H59,Choupas,8.9,9.8,,,,,,,,
09/09/1997,H60,Choupas,7.3,7.5,,,,,,,,
09/09/1997,,Choupas,8.7,9.3,,,,,,,,
09/09/1997,,Choupas,8.2,8.3,,,,,,,,
09/09/1997,,Choupas,8.1,8.2,,,,,,,,
09/09/1997,,Choupas,8.1,8.1,,,,,,,,
09/09/1997,,Choupas,8.7,10.2,,,,,,,,
09/09/1997,,Choupas,8.0,7.9,,,,,,,,
09/09/1997,,Choupas,8.0,7.8,,,,,,,,
09/09/1997,,Choupas,8.3,7.6,,,,,,,,
09/09/1997,,Choupas,7.8,6.4,,,,,,,,
09/09/1997,,Choupas,8.9,10.0,,,,,,,,
09/09/1997,,Choupas,8.4,8.9,,,,,,,,
09/09/1997,,Choupas,8.1,7.8,,,,,,,,
09/09/1997,,Choupas,7.7,6.7,,,,,,,,
09/09/1997,,Choupas,8.5,8.4,,,,,,,,
09/09/1997,,Choupas,7.3,5.8,,,,,,,,
09/09/1997,,Choupas,8.2,7.8,,,,,,,,
09/09/1997,,Choupas,7.6,6.5,,,,,,,,
09/09/1997,,Choupas,7.8,6.7,,,,,,,,
09/09/1997,,Choupas,6.0,3.9,,,,,,,,
09/09/1997,,Choupas,7.9,7.3,,,,,,,,
09/09/1997,,Choupas,8.6,9.0,,,,,,,,
09/09/1997,,Choupas,8.8,9.1,,,,,,,,
09/09/1997,,Choupas,7.6,6.2,,,,,,,,
09/09/1997,,Choupas,9.1,10.4,,,,,,,,
04/10/1997,,Choupa,17.9,87.9,,,,,,,,
